atis
{'loss': 0.24670502645048228, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9552486187845304, 'slot_recall': 0.9637681159420289, 'slot_f1': 0.9594894561598224, 'sementic_frame_acc': 0.9014285714285715}
{'loss': 0.24897255951708014, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9545706371191136, 'slot_recall': 0.9604236343366778, 'slot_f1': 0.9574881911642124, 'sementic_frame_acc': 0.8957142857142857}
{'loss': 0.25273469429124484, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9535655058043118, 'slot_recall': 0.9615384615384616, 'slot_f1': 0.9575353871773523, 'sementic_frame_acc': 0.8957142857142857}
{'loss': 0.258798475292596, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9492833517089305, 'slot_recall': 0.959866220735786, 'slot_f1': 0.9545454545454545, 'sementic_frame_acc': 0.8957142857142857}
{'loss': 0.2703355168077079, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9498069498069498, 'slot_recall': 0.959866220735786, 'slot_f1': 0.9548100914887719, 'sementic_frame_acc': 0.8942857142857142}
{'loss': 0.2502485486594113, 'intent_acc': 0.9914285714285714, 'slot_precision': 0.9547211485367201, 'slot_recall': 0.9637681159420289, 'slot_f1': 0.9592233009708738, 'sementic_frame_acc': 0.9042857142857142}
{'loss': 0.2687301893125881, 'intent_acc': 0.99, 'slot_precision': 0.9574115044247787, 'slot_recall': 0.9648829431438127, 'slot_f1': 0.9611327040533038, 'sementic_frame_acc': 0.9057142857142857}
{'loss': 0.28253256461837073, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9531422271223815, 'slot_recall': 0.9637681159420289, 'slot_f1': 0.9584257206208426, 'sementic_frame_acc': 0.9014285714285715}
{'loss': 0.2858860001645305, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9536423841059603, 'slot_recall': 0.9632107023411371, 'slot_f1': 0.9584026622296173, 'sementic_frame_acc': 0.9014285714285715}
{'loss': 0.3247811980545521, 'intent_acc': 0.9857142857142858, 'slot_precision': 0.9520396912899669, 'slot_recall': 0.9626532887402452, 'slot_f1': 0.9573170731707317, 'sementic_frame_acc': 0.8957142857142857}
{'loss': 0.29402490535920317, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9551991150442478, 'slot_recall': 0.9626532887402452, 'slot_f1': 0.9589117157134925, 'sementic_frame_acc': 0.8942857142857142}
{'loss': 0.2825403552163731, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9498898678414097, 'slot_recall': 0.9615384615384616, 'slot_f1': 0.9556786703601109, 'sementic_frame_acc': 0.8942857142857142}
{'loss': 0.28089778565547685, 'intent_acc': 0.99, 'slot_precision': 0.9575055187637969, 'slot_recall': 0.9671125975473801, 'slot_f1': 0.9622850804215197, 'sementic_frame_acc': 0.9071428571428571}
{'loss': 0.26626052538102324, 'intent_acc': 0.99, 'slot_precision': 0.9569298729983434, 'slot_recall': 0.9659977703455964, 'slot_f1': 0.9614424410540915, 'sementic_frame_acc': 0.9042857142857142}
{'loss': 0.3011584043164145, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9552238805970149, 'slot_recall': 0.9632107023411371, 'slot_f1': 0.9592006661115737, 'sementic_frame_acc': 0.9014285714285715}
{'loss': 0.3111134564334696, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.958011049723757, 'slot_recall': 0.9665551839464883, 'slot_f1': 0.9622641509433962, 'sementic_frame_acc': 0.9014285714285715}
{'loss': 0.3016826957464218, 'intent_acc': 0.9857142857142858, 'slot_precision': 0.9529346622369879, 'slot_recall': 0.9593088071348941, 'slot_f1': 0.9561111111111111, 'sementic_frame_acc': 0.8871428571428571}
{'loss': 0.2874166179787029, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.956882255389718, 'slot_recall': 0.9648829431438127, 'slot_f1': 0.9608659450457953, 'sementic_frame_acc': 0.9014285714285715}
{'loss': 0.29342444393445144, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9559471365638766, 'slot_recall': 0.967670011148272, 'slot_f1': 0.9617728531855956, 'sementic_frame_acc': 0.9028571428571428}
{'loss': 0.2836802827025002, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9522240527182867, 'slot_recall': 0.9665551839464883, 'slot_f1': 0.9593360995850623, 'sementic_frame_acc': 0.9}
{'loss': 0.3026988316665996, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9591385974599669, 'slot_recall': 0.9682274247491639, 'slot_f1': 0.9636615811373094, 'sementic_frame_acc': 0.91}
{'loss': 0.30167272280563007, 'intent_acc': 0.99, 'slot_precision': 0.956953642384106, 'slot_recall': 0.9665551839464883, 'slot_f1': 0.9617304492512481, 'sementic_frame_acc': 0.9042857142857142}
{'loss': 0.3016959364441308, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9483516483516483, 'slot_recall': 0.9620958751393534, 'slot_f1': 0.9551743220807969, 'sementic_frame_acc': 0.8985714285714286}
{'loss': 0.29002222875979816, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9531938325991189, 'slot_recall': 0.9648829431438127, 'slot_f1': 0.9590027700831024, 'sementic_frame_acc': 0.9014285714285715}
{'loss': 0.3101350583813407, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9564017660044151, 'slot_recall': 0.9659977703455964, 'slot_f1': 0.9611758180809762, 'sementic_frame_acc': 0.9}
{'loss': 0.31889846666970034, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9570011025358324, 'slot_recall': 0.967670011148272, 'slot_f1': 0.9623059866962306, 'sementic_frame_acc': 0.9085714285714286}
{'loss': 0.33185887641527434, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9574585635359116, 'slot_recall': 0.9659977703455964, 'slot_f1': 0.9617092119866815, 'sementic_frame_acc': 0.9071428571428571}
{'loss': 0.32869252731854265, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9569298729983434, 'slot_recall': 0.9659977703455964, 'slot_f1': 0.9614424410540915, 'sementic_frame_acc': 0.9028571428571428}
{'loss': 0.32875612598251214, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9574585635359116, 'slot_recall': 0.9659977703455964, 'slot_f1': 0.9617092119866815, 'sementic_frame_acc': 0.9057142857142857}
{'loss': 0.32570614462549036, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9590934217799889, 'slot_recall': 0.9671125975473801, 'slot_f1': 0.9630863169580904, 'sementic_frame_acc': 0.9057142857142857}
{'loss': 0.3269911762326956, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9579878385848535, 'slot_recall': 0.9659977703455964, 'slot_f1': 0.9619761310019428, 'sementic_frame_acc': 0.9042857142857142}
{'loss': 0.3176949376409704, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9607300884955752, 'slot_recall': 0.9682274247491639, 'slot_f1': 0.9644641865630205, 'sementic_frame_acc': 0.91}
{'loss': 0.31380120817233215, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9590934217799889, 'slot_recall': 0.9671125975473801, 'slot_f1': 0.9630863169580904, 'sementic_frame_acc': 0.9071428571428571}
{'loss': 0.31844342974099243, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9601769911504425, 'slot_recall': 0.967670011148272, 'slot_f1': 0.9639089394780678, 'sementic_frame_acc': 0.9085714285714286}
{'loss': 0.31537592343308707, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9596462133775566, 'slot_recall': 0.967670011148272, 'slot_f1': 0.9636414099361642, 'sementic_frame_acc': 0.9057142857142857}
{'loss': 0.3156531348147176, 'intent_acc': 0.9885714285714285, 'slot_precision': 0.9607083563918096, 'slot_recall': 0.967670011148272, 'slot_f1': 0.9641766176062204, 'sementic_frame_acc': 0.9071428571428571}
{'loss': 0.3156495869837024, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9607300884955752, 'slot_recall': 0.9682274247491639, 'slot_f1': 0.9644641865630205, 'sementic_frame_acc': 0.9085714285714286}
{'loss': 0.31994495185261423, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9580342352291552, 'slot_recall': 0.9671125975473801, 'slot_f1': 0.9625520110957004, 'sementic_frame_acc': 0.9071428571428571}
{'loss': 0.3205273947255178, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9590934217799889, 'slot_recall': 0.9671125975473801, 'slot_f1': 0.9630863169580904, 'sementic_frame_acc': 0.9071428571428571}
{'loss': 0.32112138481302693, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9575055187637969, 'slot_recall': 0.9671125975473801, 'slot_f1': 0.9622850804215197, 'sementic_frame_acc': 0.9071428571428571}
{'loss': 0.3223351512781598, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9585635359116023, 'slot_recall': 0.9671125975473801, 'slot_f1': 0.962819089900111, 'sementic_frame_acc': 0.9085714285714286}
{'loss': 0.32228280553086236, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.9585635359116023, 'slot_recall': 0.9671125975473801, 'slot_f1': 0.962819089900111, 'sementic_frame_acc': 0.9085714285714286}
snips
{'loss': 0.5979523089799014, 'intent_acc': 0.9771428571428571, 'slot_precision': 0.7120041215868109, 'slot_recall': 0.770345596432553, 'slot_f1': 0.7400267737617136, 'sementic_frame_acc': 0.4614285714285714}
{'loss': 0.39189900931986893, 'intent_acc': 0.9842857142857143, 'slot_precision': 0.8258811152025249, 'slot_recall': 0.875139353400223, 'slot_f1': 0.8497970230040596, 'sementic_frame_acc': 0.6842857142857143}
{'loss': 0.2522320185195316, 'intent_acc': 0.9871428571428571, 'slot_precision': 0.8903295515937332, 'slot_recall': 0.9186176142697882, 'slot_f1': 0.9042524005486968, 'sementic_frame_acc': 0.7857142857142857}
{'loss': 0.23291380229321393, 'intent_acc': 0.9857142857142858, 'slot_precision': 0.8957776590058792, 'slot_recall': 0.9342251950947603, 'slot_f1': 0.9145975443383357, 'sementic_frame_acc': 0.7942857142857143}
